FirstName,LastName,AccountName,Email,Phone
Jitendes,Bafna,XYZ Account,jitendra@gamil.com,12345678
Jeevan,Bafna,XYZ Account,jeevan@gamil.com,12345689
Aditya,Bafna,XYZ Account,aditya@gmail.com,12345677
Sachin,Bafna,XYZ Account,sachin@gmail.com,12345666
Deepak,Bafna,XYZ Account,deepak@gmail.com,123456788
Ravi,Bafna,XYZ Account,ravi@gmail.com,123456787
Vijay,Bafna,XYZ Account,vijay@gmail.com,123456754
Jitesh,Bafna XYZ Account,jitesh@gmail.com,2345678
Sourabh,Bafna,XYZ Account,sourabh@gmail.com,123454674
Pravin,Bafna,XYZ Account,pravin@gmail.com,874944673
Rakesh,Bafna,XYZ Account,Rakesh@gmail.com,3456788754
